link_id,updated_assign_group,updated_roadway_category
383946,1,0
387777,2,0
390233,1,0
390410,1,0
392280,1,0
392374,2,0
392697,1,0
392775,1,0
392868,2,0
392877,2,0
392878,2,0
392949,1,0
393086,2,0
393167,2,0
395171,2,0
395197,2,0
395203,2,0
395222,2,0
395224,2,0
395230,2,0
396614,1,0
396649,1,0
396754,2,0
397726,2,0
397943,1,0
397945,1,0
397951,1,0
398321,2,0
398872,2,0
400170,2,10
400613,2,0
405946,2,0
406201,2,0
406243,2,0
406391,2,0
407466,2,0
409171,2,0
411685,2,0
413093,6,30
416342,2,0
416345,2,0
416347,2,0
416360,2,0
416393,2,0
416408,2,0
419237,2,0
420109,2,0
